index,price
2023-10-09,3.318
2023-10-10,3.294
2023-10-11,3.27
2023-10-12,3.252
2023-10-13,3.233
2023-10-14,3.22
2023-10-15,3.238
2023-10-16,3.2085
2023-10-17,3.179
2023-10-18,3.181
2023-10-19,3.201
2023-10-20,3.191
2023-10-21,3.173
2023-10-22,3.173
2023-10-23,3.183
2023-10-24,3.193
2023-10-25,3.165
2023-10-26,3.172
2023-10-27,3.135
2023-10-28,3.163
2023-10-29,3.137
2023-10-30,3.1174999999999997
2023-10-31,3.098
2023-11-01,3.124
2023-11-02,3.117
2023-11-03,3.098
2023-11-04,3.101
2023-11-05,3.079
2023-11-06,3.0700000000000003
2023-11-07,3.061
2023-11-08,3.054
2023-11-09,3.045
2023-11-10,3.047
2023-11-11,3.027
2023-11-12,3.022
2023-11-13,3.014
2023-11-14,3.0155
2023-11-15,3.017
2023-11-16,2.977
2023-11-17,2.984
2023-11-18,3.0
2023-11-19,2.943
2023-11-20,2.9425
2023-11-21,2.942
2023-11-22,2.932
2023-11-23,2.96
2023-11-24,2.928
2023-11-25,2.94
2023-11-26,2.934
2023-11-27,2.9325
2023-11-28,2.931
2023-11-29,2.938
2023-11-30,2.913
2023-12-01,2.927
2023-12-02,2.926
2023-12-03,2.916
2023-12-04,2.9145
2023-12-05,2.913
2023-12-06,2.902
2023-12-07,2.894
2023-12-08,2.886
2023-12-09,2.874
2023-12-10,2.851
2023-12-11,2.8555
2023-12-12,2.86
2023-12-13,2.855
2023-12-14,2.821
2023-12-15,2.82
2023-12-16,2.811
2023-12-17,2.81
2023-12-18,2.8015
2023-12-19,2.793
2023-12-20,2.813
2023-12-21,2.838
2023-12-22,2.824
2023-12-23,2.86
2023-12-24,2.829
2023-12-25,2.883
2023-12-26,2.833
2023-12-27,2.8415
2023-12-28,2.85
2023-12-29,2.818
2023-12-30,2.824
2023-12-31,2.811
2024-01-01,2.822
2024-01-02,2.8085
2024-01-03,2.795
2024-01-04,2.789
2024-01-05,2.775
2024-01-06,2.791
2024-01-07,2.761
2024-01-08,2.7835
2024-01-09,2.806
2024-01-10,2.82
2024-01-11,2.802
2024-01-12,2.802
2024-01-13,2.825
2024-01-14,2.812
2024-01-15,2.812
2024-01-16,2.812
2024-01-17,2.806
2024-01-18,2.772
2024-01-19,2.793
2024-01-20,2.824
2024-01-21,2.799
2024-01-22,2.8025
2024-01-23,2.806
2024-01-24,2.819
2024-01-25,2.819
2024-01-26,2.807
2024-01-27,2.83
2024-01-28,2.826
2024-01-29,2.8594999999999997
2024-01-30,2.893
2024-01-31,2.894
2024-02-01,2.901
2024-02-02,2.881
2024-02-03,2.908
2024-02-04,2.91
2024-02-05,2.9045
2024-02-06,2.899
2024-02-07,2.902
2024-02-08,2.887
2024-02-09,2.903
2024-02-10,2.89
2024-02-11,2.902
2024-02-12,2.925
2024-02-13,2.948
2024-02-14,2.981
2024-02-15,2.984
2024-02-16,2.982
2024-02-17,2.995
2024-02-18,3.02
2024-02-19,3.005
2024-02-20,2.9945
2024-02-21,2.984
2024-02-22,2.989
2024-02-23,3.008
2024-02-24,2.993
2024-02-25,2.993
2024-02-26,2.995
2024-02-27,2.997
2024-02-28,3.003
2024-02-29,3.035
2024-03-01,3.045
2024-03-02,3.023
2024-03-03,3.061
2024-03-04,3.0605
2024-03-05,3.06
2024-03-06,3.073
2024-03-07,3.068
2024-03-08,3.066
2024-03-09,3.051
2024-03-10,3.041
2024-03-11,3.0645
2024-03-12,3.088
2024-03-13,3.079
2024-03-14,3.103
2024-03-15,3.126
2024-03-16,3.142
2024-03-17,3.147
2024-03-18,3.1615
2024-03-19,3.176
2024-03-20,3.194
2024-03-21,3.184
2024-03-22,3.205
2024-03-23,3.213
2024-03-24,3.201
2024-03-25,3.1925
2024-03-26,3.184
2024-03-27,3.215
2024-03-28,3.191
2024-03-29,3.197
2024-03-30,3.195
2024-03-31,3.192
2024-04-01,3.199
2024-04-02,3.206
2024-04-03,3.224
2024-04-04,3.241
2024-04-05,3.241
2024-04-06,3.241
2024-04-07,3.242
2024-04-08,3.26
2024-04-09,3.278
2024-04-10,3.29
2024-04-11,3.291
2024-04-12,3.286
2024-04-13,3.284
2024-04-14,3.311
2024-04-15,3.3025
2024-04-16,3.294
2024-04-17,3.293
2024-04-18,3.306
2024-04-19,3.291
2024-04-20,3.272
2024-04-21,3.276
2024-04-22,3.2735
2024-04-23,3.271
2024-04-24,3.273
2024-04-25,3.261
2024-04-26,3.259
2024-04-27,3.276
2024-04-28,3.273
2024-04-29,3.2695
2024-04-30,3.266
2024-05-01,3.258
2024-05-02,3.278
2024-05-03,3.287
2024-05-04,3.296
2024-05-05,3.269
2024-05-06,3.2765
2024-05-07,3.284
2024-05-08,3.273
2024-05-09,3.261
2024-05-10,3.249
2024-05-11,3.253
2024-05-12,3.262
2024-05-13,3.2485
2024-05-14,3.235
2024-05-15,3.217
2024-05-16,3.202
2024-05-17,3.191
2024-05-18,3.207
2024-05-19,3.184
2024-05-20,3.198
2024-05-21,3.19
2024-05-22,3.182
2024-05-23,3.18
2024-05-24,3.167
2024-05-25,3.153
2024-05-26,3.133
2024-05-27,3.129
2024-05-28,3.125
2024-05-29,3.151
2024-05-30,3.112
2024-05-31,3.119
2024-06-01,3.087
2024-06-02,3.091
2024-06-03,3.075
2024-06-04,3.059
2024-06-05,3.042
2024-06-06,3.058
2024-06-07,3.022
2024-06-08,3.051
2024-06-09,3.022
2024-06-10,3.0115
2024-06-11,3.001
2024-06-12,2.978
2024-06-13,2.979
2024-06-14,2.983
2024-06-15,3.026
2024-06-16,2.97
2024-06-17,2.9800000000000004
2024-06-18,2.99
2024-06-19,3.011
2024-06-20,3.011
2024-06-21,2.996
2024-06-22,2.987
2024-06-23,2.984
2024-06-24,3.0045
2024-06-25,3.025
2024-06-26,3.049
2024-06-27,3.051
2024-06-28,3.066
2024-06-29,3.079
2024-06-30,3.072
2024-07-01,3.074
2024-07-02,3.081
2024-07-03,3.088
2024-07-04,3.084
2024-07-05,3.1
2024-07-06,3.118
2024-07-07,3.116
2024-07-08,3.114
2024-07-09,3.112
